,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
48,0.16352620124816894,0.013157072473337493,0.10979294776916504,0.0010223887181404741,gini,5,91,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 91}",0.6428571428571429,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.9230769230769231,0.8507462686567164,0.11349124116917433,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,0.1634528636932373,0.002436392224912636,0.10997276306152344,0.0008845738172719974,gini,5,101,"{'criterion': 'gini', 'max_features': 5, 'n_estimators': 101}",0.6428571428571429,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8846153846153846,0.8432835820895522,0.1096906310104815,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50,0.13204421997070312,0.010982497066568097,0.10552120208740234,0.00046961282772315846,gini,6,11,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 11}",0.6785714285714286,0.9259259259259259,0.8148148148148148,0.8846153846153846,0.7692307692307693,0.8134328358208955,0.08782280936605553,234,0.9905660377358491,1.0,1.0,0.9907407407407407,1.0,0.9962613556953179,0.0045792187073112256
51,0.12724204063415528,0.0016238914215711807,0.1169161319732666,0.0022017079688560863,gini,6,21,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 21}",0.6785714285714286,0.9629629629629629,0.8148148148148148,0.8846153846153846,0.8076923076923077,0.8283582089552238,0.09525109077929757,201,1.0,0.9906542056074766,1.0,1.0,0.9907407407407407,0.9962789892696435,0.0045573709653781306
52,0.12697315216064453,0.0032151905427145713,0.11986351013183594,0.006964678082352341,gini,6,31,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 31}",0.6785714285714286,0.9629629629629629,0.9259259259259259,0.8461538461538461,0.8076923076923077,0.8432835820895522,0.10088861261592992,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
53,0.14629406929016114,0.011616305013014944,0.10722999572753907,0.0009775087588889608,gini,6,41,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 41}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.835820895522388,0.0957379153997932,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,0.17315869331359862,0.012117812062716348,0.1104316234588623,0.0025953321757566468,gini,6,51,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 51}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8076923076923077,0.835820895522388,0.0957379153997932,161,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,0.17026877403259277,0.007279056189491907,0.1131093978881836,0.00270815100405984,gini,6,61,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 61}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8432835820895522,0.09474836933489644,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
56,0.15217990875244142,0.006561475633023517,0.11148929595947266,0.0032677769017112296,gini,6,71,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 71}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8432835820895522,0.09474836933489644,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,0.16608715057373047,0.03660931794042466,0.1171952247619629,0.0045257646135733135,gini,6,81,"{'criterion': 'gini', 'max_features': 6, 'n_estimators': 81}",0.6785714285714286,0.9629629629629629,0.8888888888888888,0.8461538461538461,0.8461538461538461,0.8432835820895522,0.09474836933489644,98,1.0,1.0,1.0,1.0,1.0,1.0,0.0
